id;type;unique_id;description;status
1;PALLETS;zero defect Ridges Beauty;groupware;ESPERANDO_DESCARGA
2;POLIETILENO;models New Mexico District;Accountability;ROBADO
3;GRANEL;navigate redefine;generating bypassing Bypass;EN_INSPECCION
4;LECHE;Zimbabwe parse Customer;input Accounts;EN_TRANSITO_MARITIMO
5;POLIETILENO;white SMTP;Checking Account global Steel;PERDIDO
6;POLIETILENO;Planner Refined;engage Granite Grocery;ESPERANDO_CARGA
7;CONTENEDOR;withdrawal Jamaica;International;DANADO
8;TUBERIA;back-end Via indexing;Business-focused Canyon Orchestrator;EN_TRANSITO_TERRESTRE
9;PALLETS;Creek;Shirt Metal;EN_ADUANA
10;CONTENEDOR;Officer Savings Account Automated;Pants even-keeled Chair;ROBADO
