id;member_since;status;internal_notes;unique_id
1;2019-09-26T12:43:21;VERIFICADO;AI optical invoice;Marketing
2;2019-09-26T00:34:03;VERIFICADO;invoice Home Gloves;Buckinghamshire Ports
3;2019-09-25T19:32:55;ACTIVO;Networked;Fish
4;2019-09-26T10:37:13;DECLINADO;Nevada;Berkshire
5;2019-09-26T04:08:37;ACTIVO;Strategist target;Investor users dot-com
6;2019-09-26T03:55:59;APROBADO;sensor;Alaska
7;2019-09-26T00:58:13;APROBADO;Human;back up Factors
8;2019-09-26T11:28:39;DECLINADO;SDD disintermediate reinvent;eco-centric Bedfordshire mesh
9;2019-09-26T09:56:34;CANCELADO;Director Concrete Bedfordshire;portal calculating Metal
10;2019-09-26T02:24:06;APROBADO;open-source HDD;Sleek Beauty Auto Loan Account
