id;type;title;legal_prose;signature;signature_content_type;contract_file;contract_file_content_type;qr_code;qr_code_content_type;digital_fingerprint;date_signed;expiration_date;status
1;DECISION_INTERNA;Michigan Clothing;Borders HDD;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;redundant withdrawal Planner;2019-09-26T12:36:13;2019-09-25;ACTIVO
2;SOLICITUD_DE_SERVICIO;interface Investor Tuna;redefine;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Shirt SDD;2019-09-26T07:36:05;2019-09-26;PAUSADO
3;DECISION_INTERNA;payment Rustic;envisioneer Coordinator;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;SMTP;2019-09-26T19:11:57;2019-09-26;TERMINADO
4;EMPLEADO;Gloves Jordan;Uganda Shilling Cotton;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Persevering Personal Loan Account;2019-09-26T02:27:13;2019-09-26;ACTIVO
5;PRESTACION_DE_SERVICIO;Kuwait optical;online Utah COM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Botswana;2019-09-26T18:35:44;2019-09-26;CANCELADO
6;SOLICITU_DE_MANIOBRA;Borders;Congolese Franc;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Architect Developer;2019-09-26T19:17:51;2019-09-26;FIRMADO
7;DECISION_INTERNA;open-source Burundi;Music;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Metal;2019-09-25T20:51:38;2019-09-26;PAUSADO
8;SOLICITUD_DE_SERVICIO;Qatari Rial;Representative whiteboard Health;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Auto Loan Account;2019-09-25T22:33:45;2019-09-25;ACTIVO
9;TERMINOS_Y_CONDICIONES;navigating Guarani;Incredible deposit;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Checking Account utilisation AI;2019-09-25T19:34:34;2019-09-25;PAUSADO
10;CONFIDENCIALIDAD;solid state program;help-desk SAS embrace;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Nigeria;2019-09-26T19:16:40;2019-09-26;TERMINADO
