id;title;description;unit;division;price;currency
1;deposit;extend Unbranded Fresh Pants Tools;CONTENEDOR_40TM;INTERMODAL;15504;MXN
2;Computers Small Fresh Gloves back-end;interface;KG;CERVEZA;19438;MXN
3;panel;Analyst card Licensed Cotton Ball;M2;LACTEOS;8087;USD
4;Enterprise-wide Benin;Tuna Response invoice;KM;TUBERIA;15864;USD
5;Incredible Fresh Chips;Shoes Music connect;CONTENEDOR_40TM;INTERMODAL;26089;USD
6;EXE payment;Checking Account;CONTENEDOR_40TM;INTERMODAL;12850;USD
7;revolutionize Branding;teal analyzing yellow;KG;SAGARPA;68161;MXN
8;hybrid;Solomon Islands Dollar;CONTENEDOR_20TM;TUBERIA;42347;USD
9;incentivize;Louisiana JSON Texas;KG;TUBERIA;53432;USD
10;Direct;Small Frozen Salad bypassing;TARIMA;CERVEZA;9170;MXN
