id;title;description;date;transport_type;qr_code;qr_code_content_type
1;Danish Krone parse;neural Wooden Optimization;2019-09-25;CAMION;../fake-data/blob/hipster.png;image/png
2;mindshare;Guam bandwidth Liaison;2019-09-26;CAMION;../fake-data/blob/hipster.png;image/png
3;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;2019-09-26;CAMION;../fake-data/blob/hipster.png;image/png
4;Interactions;Pennsylvania dynamic bandwidth;2019-09-26;CAMION;../fake-data/blob/hipster.png;image/png
5;Cotton;Advanced grow;2019-09-26;CAMION;../fake-data/blob/hipster.png;image/png
6;Fresh payment synthesize;Versatile seize;2019-09-26;CAMION;../fake-data/blob/hipster.png;image/png
7;Mandatory Assistant;Strategist;2019-09-26;CAMION;../fake-data/blob/hipster.png;image/png
8;Tuvalu;Senior Optional Yemeni Rial;2019-09-26;FFCC;../fake-data/blob/hipster.png;image/png
9;Wells;Naira iterate;2019-09-26;FFCC;../fake-data/blob/hipster.png;image/png
10;Brand Regional Court;B2B Mouse;2019-09-26;FFCC;../fake-data/blob/hipster.png;image/png
