id;title;description;type;unit;status
1;calculating yellow;Wooden;DESCARGA;KM;ACTIVO
2;seize generate;Fantastic Wooden Chips microchip;ALMACENAJE;KM;TERMINADO
3;West Virginia Keys;Factors Soft;ALMACENAJE;TM;CONFIRMADO
4;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;INSPECCION;M2;CONFIRMADO
5;Licensed;Marketing mobile Cayman Islands Dollar;CARGA;M2;ACTIVO
6;deposit Rand Namibia Dollar;Branding;CROSS_DOCK;CONTENEDOR_40TM;CANCELADO
7;complexity Direct Administrator;online program Refined Granite Gloves;EXPORTACION;TM;ACTIVO
8;models streamline;projection Maldives;EXPORTACION;TM;CONFIRMADO
9;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;ALMACENAJE;KM;CONFIRMADO
10;Russian Federation program;Practical;TRANSPORTE;CONTENEDOR_20TM;TERMINADO
