id;title;description;quantity;price;unit;expedition_date;expiration_date;status;currency;approved_by;qr_code;qr_code_content_type
1;lavender;neural Cloned Massachusetts;98233;87911;TM;2019-09-26T15:24:26;2019-09-26;PROCESANDO;MXN;Electronics;../fake-data/blob/hipster.png;image/png
2;neural wireless Generic Frozen Bike;Cambridgeshire Personal Loan Account Chile;26023;39624;TM;2019-09-26T15:43:21;2019-09-25;PROCESANDO;MXN;SDD Trail;../fake-data/blob/hipster.png;image/png
3;didactic Granite;Tasty Fresh Pizza Jewelery monitoring;93158;55085;CONTENEDOR_20TM;2019-09-26T13:10:55;2019-09-26;CANCELADO;USD;Borders Internal;../fake-data/blob/hipster.png;image/png
4;open-source Ouguiya;AGP circuit;52126;79742;M2;2019-09-26T02:24:55;2019-09-26;ACTIVO;MXN;Burg SAS Music;../fake-data/blob/hipster.png;image/png
5;one-to-one reboot Chair;Tennessee generate Adaptive;19313;28703;TARIMA;2019-09-25T19:52:04;2019-09-26;PROCESANDO;MXN;Wooden radical Beauty;../fake-data/blob/hipster.png;image/png
6;Facilitator 24/365;Sausages bypass;78880;93722;TM;2019-09-26T17:47:16;2019-09-25;CONFIRMADO;USD;SCSI;../fake-data/blob/hipster.png;image/png
7;Technician Architect calculate;Auto Loan Account;38361;2458;TM;2019-09-26T11:38:58;2019-09-26;EN_ESPERA;MXN;Wells;../fake-data/blob/hipster.png;image/png
8;partnerships Terrace Hat;calculating conglomeration bypassing;77282;68049;TM;2019-09-26T12:51:28;2019-09-25;ACTIVO;USD;methodologies;../fake-data/blob/hipster.png;image/png
9;e-services;program override red;86812;65166;TM;2019-09-25T20:10:46;2019-09-26;PROCESANDO;USD;Summit Saint Martin Kids;../fake-data/blob/hipster.png;image/png
10;Plastic Automotive Principal;indigo Manors;123;11730;TM;2019-09-26T09:05:19;2019-09-26;ACTIVO;MXN;South Carolina;../fake-data/blob/hipster.png;image/png
