id;title;description;date_requested;date_begin;date_end;status
1;website Curve;Circles;2019-09-26T03:05:07;2019-09-26;2019-09-26;CONFIRMADO
2;El Salvador Colon US Dollar XSS;Lead sensor bypass;2019-09-26T15:54:50;2019-09-26;2019-09-26;TERMINADO
3;Rupiah;back up Tactics;2019-09-26T17:40:41;2019-09-26;2019-09-26;CANCELADO
4;Sports;24/365;2019-09-26T11:41:09;2019-09-26;2019-09-25;PROCESANDO
5;green Chicken Tasty;Metal Lead;2019-09-26T05:08:29;2019-09-25;2019-09-26;CANCELADO
6;capacitor;Assurance Auto Loan Account cross-platform;2019-09-26T04:43:19;2019-09-25;2019-09-26;EN_ESPERA
7;Montserrat synthesizing;Port Sleek Wooden Fish;2019-09-26T08:53:22;2019-09-26;2019-09-26;PROCESANDO
8;Shoes HDD;utilisation;2019-09-26T08:07:54;2019-09-26;2019-09-26;TERMINADO
9;deposit Avon;Clothing deposit;2019-09-26T11:26:26;2019-09-25;2019-09-26;ACTIVO
10;Practical Steel Mouse;indexing;2019-09-26T15:14:07;2019-09-25;2019-09-25;EN_ESPERA
